Ticker	GICS Sector	GICS Sub Industry	Name
MAT	Consumer Discretionary	Leisure Products	Mattel, Inc.
NCLH	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Norwegian Cruise Line Holdings Ltd
ULTA	Consumer Discretionary	Specialty Stores	Ulta Beauty Inc
MGM	Consumer Discretionary	Casinos & Gaming	MGM Resorts International
NWSA	Consumer Discretionary	Publishing	News Corp
DG	Consumer Discretionary	General Merchandise Stores	Dollar General Corp.
RCL	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Royal Caribbean Cruises Ltd
KMX	Consumer Discretionary	Specialty Stores	CarMax, Inc
NWS	Consumer Discretionary	Publishing	News Corp
DISCA	Consumer Discretionary	Cable & Satellite	Discovery Inc
PVH	Consumer Discretionary	Apparel, Accessories & Luxury Goods	PVH Corp
DISCK	Consumer Discretionary	Cable & Satellite	Discovery Inc
GRMN	Consumer Discretionary	Consumer Electronics	Garmin Ltd.
TGT	Consumer Discretionary	General Merchandise Stores	Target Corporation
GPC	Consumer Discretionary	Specialty Stores	Genuine Parts Company
DHI	Consumer Discretionary	Homebuilding	D. R. Horton Inc
ORLY	Consumer Discretionary	Specialty Stores	O'Reilly Automotive Inc
WHR	Consumer Discretionary	Household Appliances	Whirlpool Corporation
WYNN	Consumer Discretionary	Casinos & Gaming	Wynn Resorts, Limited
RL	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Ralph Lauren Corp
CHTR	Consumer Discretionary	Cable & Satellite	Charter Communications, Inc.
YUM	Consumer Discretionary	Restaurants	Yum! Brands, Inc.
CCL	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Carnival Corp
MCD	Consumer Discretionary	Restaurants	McDonald's Corporation
TIF	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Tiffany & Co.
HLT	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Hilton Worldwide Holdings Inc
WYN	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Wyndham Worldwide Corporation
PHM	Consumer Discretionary	Homebuilding	PulteGroup, Inc.
LOW	Consumer Discretionary	Home Improvement Retail	Lowe's Companies, Inc.
SNA	Consumer Discretionary	Household Appliances	Snap-on Incorporated
LEN	Consumer Discretionary	Homebuilding	Lennar Corporation
AZO	Consumer Discretionary	Specialty Stores	AutoZone, Inc.
